Date,Album,AlbumURL,AlbumImageURL,AlbumImageSource,Artist,ArtistURL
1961-04-10,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1961-04-17,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,
1961-04-24,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,
1961-05-01,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,
1961-05-08,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,
1961-05-15,Calcutta!,https://en.wikipedia.org/wiki/Calcutta_(song),http://ecx.images-amazon.com/images/I/71k3es9u3XL._SL1050_.jpg,http://www.amazon.com/Calcutta-Yellow-Bird-Lawrence-Welk/dp/B005NECHOK,Lawrence Welk,
1961-05-22,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1961-05-29,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1961-06-05,G.I. Blues,https://en.wikipedia.org/wiki/G.I._Blues_(album),https://upload.wikimedia.org/wikipedia/en/1/18/G._I._Blues.jpg,,Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley
1961-06-12,Camelot,https://en.wikipedia.org/wiki/Camelot_(musical),https://upload.wikimedia.org/wikipedia/en/f/f6/Camelot_Original_Cast_Recording.jpg,,Original Broadway Cast,
1961-06-19,Camelot,https://en.wikipedia.org/wiki/Camelot_(musical),https://upload.wikimedia.org/wikipedia/en/f/f6/Camelot_Original_Cast_Recording.jpg,,Original Broadway Cast,
1961-06-26,Camelot,https://en.wikipedia.org/wiki/Camelot_(musical),https://upload.wikimedia.org/wikipedia/en/f/f6/Camelot_Original_Cast_Recording.jpg,,Original Broadway Cast,
1961-07-03,Camelot,https://en.wikipedia.org/wiki/Camelot_(musical),https://upload.wikimedia.org/wikipedia/en/f/f6/Camelot_Original_Cast_Recording.jpg,,Original Broadway Cast,
