Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US13253,13253,"Seminole County, Georgia",8305,98.4,0.7
0500000US22013,22013,"Bienville Parish, Louisiana",13386,98.4,0.7
0500000US29087,29087,"Holt County, Missouri",4514,98.4,0.8
0500000US39129,39129,"Pickaway County, Ohio",52800,98.4,0.4
0500000US40091,40091,"McIntosh County, Oklahoma",19279,98.4,0.5
0500000US54009,54009,"Brooke County, West Virginia",22924,98.3,0.5
0500000US18161,18161,"Union County, Indiana",6983,98.2,0.9
0500000US30043,30043,"Jefferson County, Montana",10916,98.2,0.7
0500000US05089,5089,"Marion County, Arkansas",15871,98.1,0.7
0500000US20065,20065,"Graham County, Kansas",2454,98.1,0.9
0500000US28025,28025,"Clay County, Mississippi",19164,98.1,1
0500000US28153,28153,"Wayne County, Mississippi",19244,98,1.1
0500000US31125,31125,"Nance County, Nebraska",3474,98,0.8
0500000US47175,47175,"Van Buren County, Tennessee",5291,98,1.3
0500000US51175,51175,"Southampton County, Virginia",17537,98,0.7
0500000US16003,16003,"Adams County, Idaho",3769,97.9,1
0500000US20157,20157,"Republic County, Kansas",4659,97.9,0.8
0500000US29057,29057,"Dade County, Missouri",7364,97.9,0.9
0500000US29153,29153,"Ozark County, Missouri",9188,97.9,0.8
0500000US30001,30001,"Beaverhead County, Montana",8814,97.9,0.8
0500000US18139,18139,"Rush County, Indiana",16314,97.8,0.6
0500000US29065,29065,"Dent County, Missouri",14690,97.8,0.9
0500000US31017,31017,"Brown County, Nebraska",2997,97.8,1.6
0500000US46075,46075,"Jones County, South Dakota",937,97.8,1.9
0500000US30057,30057,"Madison County, Montana",7362,97.7,1.1
0500000US51620,51620,"Franklin city, Virginia",7943,97.7,1
0500000US19129,19129,"Mills County, Iowa",14090,97.6,0.7
0500000US38027,38027,"Eddy County, North Dakota",2259,97.4,1.2
0500000US41063,41063,"Wallowa County, Oregon",6578,97.3,0.9
0500000US13243,13243,"Randolph County, Georgia",6847,97.1,1.9
0500000US16009,16009,"Benewah County, Idaho",8635,96.7,1.4
0500000US46033,46033,"Custer County, South Dakota",7974,96.6,1.1
0500000US47135,47135,"Perry County, Tennessee",7389,96.6,1.9
0500000US29103,29103,"Knox County, Missouri",3850,96.3,1.8
0500000US46055,46055,"Haakon County, South Dakota",1835,96,2.1
0500000US28107,28107,"Panola County, Mississippi",31998,99.5,0.2
0500000US47067,47067,"Hancock County, Tennessee",6370,99.5,0.5
0500000US51091,51091,"Highland County, Virginia",2226,99.5,0.5
0500000US21043,21043,"Carter County, Kentucky",25747,99.4,0.3
0500000US28051,28051,"Holmes County, Mississippi",17332,99.4,0.4
0500000US01085,1085,"Lowndes County, Alabama",10397,99.3,0.5
0500000US01057,1057,"Fayette County, Alabama",16173,99.2,0.5
0500000US05105,5105,"Perry County, Arkansas",9788,99.2,0.7
0500000US13289,13289,"Twiggs County, Georgia",8410,99.2,0.6
0500000US22041,22041,"Franklin Parish, Louisiana",19161,99.2,0.4
0500000US28023,28023,"Clarke County, Mississippi",15584,99.2,0.4
0500000US05101,5101,"Newton County, Arkansas",7785,99.1,0.5
0500000US21013,21013,"Bell County, Kentucky",26747,99.1,0.3
0500000US21071,21071,"Floyd County, Kentucky",36973,99.1,0.3
0500000US21133,21133,"Letcher County, Kentucky",22705,99.1,0.4
0500000US21187,21187,"Owen County, Kentucky",10140,99.1,0.7
