Id,Id2,Geography,Total; Estimate; Population 5 years and over,Total; Estimate; Speak only English,Total; Margin of Error; Speak only English
0500000US32033,32033,"White Pine County, Nevada",9368,94.1,1.9
0500000US17181,17181,"Union County, Illinois",16765,94,0.9
0500000US19089,19089,"Howard County, Iowa",8869,94,1.7
0500000US51147,51147,"Prince Edward County, Virginia",22178,94,2
0500000US36019,36019,"Clinton County, New York",77857,93.9,0.6
0500000US29183,29183,"St. Charles County, Missouri",341309,93.8,0.3
0500000US39057,39057,"Greene County, Ohio",153610,93.8,0.4
0500000US40107,40107,"Okfuskee County, Oklahoma",11412,93.8,1
0500000US18121,18121,"Parke County, Indiana",16235,93.7,1.8
0500000US56015,56015,"Goshen County, Wyoming",12687,93.3,1.6
0500000US56021,56021,"Laramie County, Wyoming",86562,93.2,0.8
0500000US48457,48457,"Tyler County, Texas",20528,93.1,1.5
0500000US08067,8067,"La Plata County, Colorado",49183,90.3,1.1
0500000US13293,13293,"Upson County, Georgia",25292,97.4,0.8
0500000US18135,18135,"Randolph County, Indiana",24604,97.3,0.7
0500000US28119,28119,"Quitman County, Mississippi",7469,97.3,2
0500000US40061,40061,"Haskell County, Oklahoma",12009,97.2,0.8
0500000US45069,45069,"Marlboro County, South Carolina",26875,97,0.5
0500000US13175,13175,"Laurens County, Georgia",44837,96.7,0.4
0500000US20023,20023,"Cheyenne County, Kansas",2586,96.7,1.3
0500000US28151,28151,"Washington County, Mississippi",46705,96.7,0.7
0500000US05135,5135,"Sharp County, Arkansas",16343,96.6,1
0500000US21155,21155,"Marion County, Kentucky",18621,96.5,1.2
0500000US51595,51595,"Emporia city, Virginia",5355,96.5,2.5
0500000US13205,13205,"Mitchell County, Georgia",21766,96.3,0.9
0500000US18147,18147,"Spencer County, Indiana",19736,96.2,0.7
0500000US13227,13227,"Pickens County, Georgia",27934,96.1,0.8
0500000US05139,5139,"Union County, Arkansas",38598,96,0.6
0500000US20105,20105,"Lincoln County, Kansas",3002,96,1
0500000US39117,39117,"Morrow County, Ohio",32805,96,1.2
0500000US13091,13091,"Dodge County, Georgia",20220,95.7,1.1
0500000US18145,18145,"Shelby County, Indiana",41726,95.6,0.5
0500000US37145,37145,"Person County, North Carolina",37039,95.6,0.7
0500000US27093,27093,"Meeker County, Minnesota",21634,95.5,0.6
0500000US27133,27133,"Rock County, Minnesota",8983,95.5,0.9
0500000US36117,36117,"Wayne County, New York",87903,95.5,0.5
0500000US47113,47113,"Madison County, Tennessee",91676,95.5,0.5
0500000US18107,18107,"Montgomery County, Indiana",35854,95.4,0.7
0500000US05087,5087,"Madison County, Arkansas",14672,95.3,1.3
0500000US16061,16061,"Lewis County, Idaho",3644,95.3,1.6
0500000US18007,18007,"Benton County, Indiana",8243,95.3,0.8
0500000US19113,19113,"Linn County, Iowa",199441,95.3,0.4
0500000US39009,39009,"Athens County, Ohio",62169,95.2,0.6
0500000US13119,13119,"Franklin County, Georgia",20766,95.1,0.8
0500000US17095,17095,"Knox County, Illinois",49880,95.1,0.6
0500000US31131,31131,"Otoe County, Nebraska",14706,95.1,1
0500000US36003,36003,"Allegany County, New York",46020,95.1,0.6
0500000US51820,51820,"Waynesboro city, Virginia",19752,95.1,1.3
0500000US01067,1067,"Henry County, Alabama",16361,95,1.3
0500000US27015,27015,"Brown County, Minnesota",24099,95,0.7
0500000US41013,41013,"Crook County, Oregon",19868,95,1.4
0500000US19135,19135,"Monroe County, Iowa",7535,94.9,1.9
0500000US29077,29077,"Greene County, Missouri",261001,94.9,0.3
0500000US33013,33013,"Merrimack County, New Hampshire",139340,94.8,0.4
0500000US22079,22079,"Rapides Parish, Louisiana",122858,94.7,0.5
0500000US37095,37095,"Hyde County, North Carolina",5513,94.7,4
0500000US37139,37139,"Pasquotank County, North Carolina",37726,94.7,1.1
0500000US37189,37189,"Watauga County, North Carolina",49654,94.7,0.6
0500000US56025,56025,"Natrona County, Wyoming",72057,94.7,0.6
0500000US38043,38043,"Kidder County, North Dakota",2338,94.6,1.8
0500000US42063,42063,"Indiana County, Pennsylvania",84050,94.6,0.5
0500000US40003,40003,"Alfalfa County, Oklahoma",5372,94.5,1.4
0500000US42035,42035,"Clinton County, Pennsylvania",37338,94.5,0.8
0500000US24035,24035,"Queen Anne's County, Maryland",45467,94.4,0.8
0500000US18081,18081,"Johnson County, Indiana",132270,94.3,0.7
0500000US22089,22089,"St. Charles Parish, Louisiana",49196,94.1,0.8
0500000US19189,19189,"Winnebago County, Iowa",10180,94,1.4
0500000US16057,16057,"Latah County, Idaho",35529,93.8,1
0500000US13223,13223,"Paulding County, Georgia",133280,93.6,0.7
0500000US55089,55089,"Ozaukee County, Wisconsin",82277,93.6,0.6
0500000US33015,33015,"Rockingham County, New Hampshire",282133,93.5,0.4
0500000US36099,36099,"Seneca County, New York",33442,93.5,0.7
0500000US44009,44009,"Washington County, Rhode Island",121345,93.4,0.6
0500000US49017,49017,"Garfield County, Utah",4810,93.2,1.8
0500000US36021,36021,"Columbia County, New York",59815,93.1,0.7
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",84614,93,1
0500000US55053,55053,"Jackson County, Wisconsin",19251,93,1.2
0500000US12023,12023,"Columbia County, Florida",63483,92.8,0.9
0500000US22019,22019,"Calcasieu Parish, Louisiana",179934,92.5,0.5
0500000US37133,37133,"Onslow County, North Carolina",162366,91.2,0.6
0500000US46061,46061,"Hanson County, South Dakota",3054,88.9,3.8
0500000US01055,1055,"Etowah County, Alabama",98145,96.9,0.5
0500000US13111,13111,"Fannin County, Georgia",22584,96.9,1.1
0500000US20201,20201,"Washington County, Kansas",5426,96.9,0.5
0500000US29011,29011,"Barton County, Missouri",11572,96.8,0.9
0500000US16029,16029,"Caribou County, Idaho",6337,96.7,1
0500000US21171,21171,"Monroe County, Kentucky",10297,96.7,1.3
0500000US31003,31003,"Antelope County, Nebraska",6183,96.5,0.9
0500000US45025,45025,"Chesterfield County, South Carolina",43622,96.5,0.7
0500000US01051,1051,"Elmore County, Alabama",75100,96.4,0.5
0500000US28141,28141,"Tishomingo County, Mississippi",18479,96.3,0.5
0500000US45043,45043,"Georgetown County, South Carolina",57104,96.3,0.5
0500000US21141,21141,"Logan County, Kentucky",25101,96.1,1.1
0500000US37065,37065,"Edgecombe County, North Carolina",52413,96.1,0.5
0500000US13275,13275,"Thomas County, Georgia",41787,95.9,0.7
0500000US31143,31143,"Polk County, Nebraska",5047,95.9,0.6
0500000US28035,28035,"Forrest County, Mississippi",70550,95.8,0.5
0500000US29075,29075,"Gentry County, Missouri",6313,95.8,1.8
0500000US05145,5145,"White County, Arkansas",72695,95.7,0.6
0500000US29123,29123,"Madison County, Missouri",11571,95.7,1.6
0500000US17073,17073,"Henry County, Illinois",47334,95.6,0.5
0500000US20125,20125,"Montgomery County, Kansas",32604,95.6,0.8
0500000US12045,12045,"Gulf County, Florida",15204,95.4,1
0500000US18075,18075,"Jay County, Indiana",19798,95.4,1.1
0500000US26037,26037,"Clinton County, Michigan",71678,95.4,0.5
0500000US27111,27111,"Otter Tail County, Minnesota",54088,95.2,0.5
0500000US45085,45085,"Sumter County, South Carolina",99863,95.2,0.5
0500000US13255,13255,"Spalding County, Georgia",59499,95.1,0.8
0500000US42085,42085,"Mercer County, Pennsylvania",110284,95,0.6
0500000US26123,26123,"Newaygo County, Michigan",45349,94.8,0.6
0500000US40019,40019,"Carter County, Oklahoma",44581,94.6,0.7
0500000US55139,55139,"Winnebago County, Wisconsin",158166,94.6,0.4
0500000US26073,26073,"Isabella County, Michigan",66919,94.5,0.9
0500000US18063,18063,"Hendricks County, Indiana",138684,94.3,0.5
0500000US39007,39007,"Ashtabula County, Ohio",94807,94.3,0.7
0500000US12017,12017,"Citrus County, Florida",134760,94.1,0.5
0500000US13235,13235,"Pulaski County, Georgia",11047,94.1,2.8
0500000US13245,13245,"Richmond County, Georgia",186317,94.1,0.5
0500000US36051,36051,"Livingston County, New York",62059,94.1,0.9
0500000US55071,55071,"Manitowoc County, Wisconsin",76707,94.1,0.4
0500000US39095,39095,"Lucas County, Ohio",410797,94,0.3
0500000US27013,27013,"Blue Earth County, Minnesota",60735,93.8,0.6
0500000US36091,36091,"Saratoga County, New York",209298,93.7,0.5
0500000US18127,18127,"Porter County, Indiana",155682,93.4,0.5
0500000US24037,24037,"St. Mary's County, Maryland",99566,93.4,0.8
0500000US08057,8057,"Jackson County, Colorado",1339,93,4.7
0500000US21099,21099,"Hart County, Kentucky",17186,93,1.8
0500000US33009,33009,"Grafton County, New Hampshire",85120,92.9,0.7
0500000US16085,16085,"Valley County, Idaho",9233,92.8,2.3
0500000US49007,49007,"Carbon County, Utah",19525,92.8,1.1
0500000US47187,47187,"Williamson County, Tennessee",176788,92.5,0.5
0500000US49019,49019,"Grand County, Utah",8707,92.4,3
0500000US40015,40015,"Caddo County, Oklahoma",27513,92.1,0.8
0500000US36045,36045,"Jefferson County, New York",108109,91.9,0.7
0500000US39041,39041,"Delaware County, Ohio",165709,91.9,0.6
0500000US48129,48129,"Donley County, Texas",3449,91.4,1.9
0500000US30073,30073,"Pondera County, Montana",5747,91,1.8
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",12715,90.2,1.7
0500000US51720,51720,"Norton city, Virginia",3878,97,3.6
0500000US29039,29039,"Cedar County, Missouri",13101,96.8,2.5
0500000US29137,29137,"Monroe County, Missouri",8288,96.6,1.1
0500000US21045,21045,"Casey County, Kentucky",14975,96.5,1.4
0500000US37185,37185,"Warren County, North Carolina",19646,96.4,0.7
0500000US48351,48351,"Newton County, Texas",13537,96.2,1.3
0500000US21217,21217,"Taylor County, Kentucky",23149,96.1,1.3
0500000US37161,37161,"Rutherford County, North Carolina",63678,95.9,0.5
0500000US29029,29029,"Camden County, Missouri",41605,95.7,0.7
0500000US47131,47131,"Obion County, Tennessee",29788,95.7,0.6
0500000US53019,53019,"Ferry County, Washington",7252,95.7,1
0500000US20017,20017,"Chase County, Kansas",2627,95.4,1.1
0500000US27113,27113,"Pennington County, Minnesota",13116,95.4,1.2
0500000US28139,28139,"Tippah County, Mississippi",20663,95.4,1.2
0500000US21209,21209,"Scott County, Kentucky",44722,95.3,0.7
0500000US51135,51135,"Nottoway County, Virginia",14984,95.1,1.6
0500000US51590,51590,"Danville city, Virginia",40233,95.1,0.5
0500000US55005,55005,"Barron County, Wisconsin",43082,95.1,0.7
0500000US20077,20077,"Harper County, Kansas",5551,95,0.8
0500000US45077,45077,"Pickens County, South Carolina",113230,94.9,0.6
0500000US37149,37149,"Polk County, North Carolina",19617,94.8,1.4
0500000US45057,45057,"Lancaster County, South Carolina",72961,94.8,0.7
0500000US21003,21003,"Allen County, Kentucky",18862,94.7,2.1
0500000US26089,26089,"Leelanau County, Michigan",20806,94.7,1
0500000US27079,27079,"Le Sueur County, Minnesota",25954,94.6,0.6
0500000US40145,40145,"Wagoner County, Oklahoma",69078,94.5,0.6
0500000US18167,18167,"Vigo County, Indiana",101842,94.4,0.5
0500000US48033,48033,"Borden County, Texas",574,94.3,4.6
0500000US47165,47165,"Sumner County, Tennessee",153351,94.2,0.5
0500000US25011,25011,"Franklin County, Massachusetts",68058,94.1,0.6
0500000US19079,19079,"Hamilton County, Iowa",14656,94,0.9
0500000US49021,49021,"Iron County, Utah",42376,93.9,1.3
0500000US51670,51670,"Hopewell city, Virginia",20601,93.9,1.8
0500000US27103,27103,"Nicollet County, Minnesota",30808,93.8,1.5
0500000US31105,31105,"Kimball County, Nebraska",3525,93.8,1.6
0500000US38045,38045,"LaMoure County, North Dakota",3908,93.4,1.8
0500000US46011,46011,"Brookings County, South Dakota",30442,93.4,1
0500000US20051,20051,"Ellis County, Kansas",26818,92.9,1
0500000US53059,53059,"Skamania County, Washington",10593,92.8,1.5
0500000US55133,55133,"Waukesha County, Wisconsin",370252,92.8,0.3
0500000US33017,33017,"Strafford County, New Hampshire",117164,92.7,0.5
0500000US12065,12065,"Jefferson County, Florida",13727,92.6,1.8
0500000US49031,49031,"Piute County, Utah",1705,92.6,2.5
0500000US22115,22115,"Vernon Parish, Louisiana",47666,92.2,0.7
0500000US55078,55078,"Menominee County, Wisconsin",3909,92.2,4.2
0500000US46101,46101,"Moody County, South Dakota",5984,91.9,2.1
0500000US48011,48011,"Armstrong County, Texas",1685,91.5,3.7
0500000US38099,38099,"Walsh County, North Dakota",10465,90.9,1.5
0500000US31133,31133,"Pawnee County, Nebraska",2622,90.8,4.3
0500000US17139,17139,"Moultrie County, Illinois",13951,90.4,2.7
0500000US22053,22053,"Jefferson Davis Parish, Louisiana",29239,88.5,1.2
0500000US32017,32017,"Lincoln County, Nevada",4958,97.1,2.4
0500000US01041,1041,"Crenshaw County, Alabama",13079,96.8,0.4
0500000US45067,45067,"Marion County, South Carolina",30490,96.8,0.6
0500000US05043,5043,"Drew County, Arkansas",17564,96.6,0.8
0500000US47075,47075,"Haywood County, Tennessee",17437,96.6,0.8
0500000US16015,16015,"Boise County, Idaho",6684,95.9,1.4
0500000US37075,37075,"Graham County, North Carolina",8293,95.9,1.2
0500000US18015,18015,"Carroll County, Indiana",18977,95.4,1
0500000US45059,45059,"Laurens County, South Carolina",62212,95.4,0.4
0500000US05003,5003,"Ashley County, Arkansas",20253,95.3,0.6
0500000US05113,5113,"Polk County, Arkansas",19296,95.3,0.7
0500000US37031,37031,"Carteret County, North Carolina",63962,95.3,0.5
0500000US45073,45073,"Oconee County, South Carolina",70264,95.3,0.5
0500000US29069,29069,"Dunklin County, Missouri",29652,95.1,0.6
0500000US54003,54003,"Berkeley County, West Virginia",98753,95.1,0.7
0500000US01097,1097,"Mobile County, Alabama",385198,95,0.3
0500000US18177,18177,"Wayne County, Indiana",64298,95,0.6
0500000US20151,20151,"Pratt County, Kansas",9005,95,1
0500000US13159,13159,"Jasper County, Georgia",12898,94.6,1.4
0500000US55001,55001,"Adams County, Wisconsin",19959,94.6,0.6
0500000US27127,27127,"Redwood County, Minnesota",14927,94.5,0.7
0500000US19163,19163,"Scott County, Iowa",155927,94.4,0.4
0500000US21185,21185,"Oldham County, Kentucky",57889,94.4,0.7
0500000US19053,19053,"Decatur County, Iowa",7819,94.1,2.1
0500000US37167,37167,"Stanly County, North Carolina",57099,94.1,0.7
0500000US17195,17195,"Whiteside County, Illinois",54746,94,0.8
0500000US22103,22103,"St. Tammany Parish, Louisiana",222186,94,0.4
0500000US56029,56029,"Park County, Wyoming",26915,93.9,1.6
0500000US27169,27169,"Winona County, Minnesota",48839,93.8,0.7
0500000US37111,37111,"McDowell County, North Carolina",42526,93.8,0.7
0500000US12113,12113,"Santa Rosa County, Florida",146414,93.5,0.5
0500000US22005,22005,"Ascension Parish, Louisiana",101491,93.2,0.7
0500000US06009,6009,"Calaveras County, California",43301,93,1.2
0500000US20155,20155,"Reno County, Kansas",60152,92.9,0.8
0500000US36089,36089,"St. Lawrence County, New York",105676,92.8,0.9
0500000US21093,21093,"Hardin County, Kentucky",98430,92.4,0.8
0500000US56001,56001,"Albany County, Wyoming",34827,90.3,1.1
0500000US31031,31031,"Cherry County, Nebraska",5365,97.2,1.3
0500000US51193,51193,"Westmoreland County, Virginia",16606,96.9,1.5
0500000US01027,1027,"Clay County, Alabama",12974,96.7,0.8
0500000US46091,46091,"Marshall County, South Dakota",4300,96.5,1.9
0500000US37117,37117,"Martin County, North Carolina",22873,96.3,0.7
0500000US46051,46051,"Grant County, South Dakota",6890,96.3,1.3
0500000US05063,5063,"Independence County, Arkansas",34351,95.7,1
0500000US45049,45049,"Hampton County, South Carolina",19583,95.7,1
0500000US45055,45055,"Kershaw County, South Carolina",57811,95.4,0.8
0500000US29007,29007,"Audrain County, Missouri",23879,95.1,1.3
0500000US37121,37121,"Mitchell County, North Carolina",14707,95,0.8
0500000US46057,46057,"Hamlin County, South Dakota",5355,95,2.6
0500000US18019,18019,"Clark County, Indiana",103940,94.8,0.4
0500000US46013,46013,"Brown County, South Dakota",34579,94.8,0.8
0500000US18091,18091,"LaPorte County, Indiana",104715,94.7,0.5
0500000US24019,24019,"Dorchester County, Maryland",30609,94.7,0.6
0500000US28033,28033,"DeSoto County, Mississippi",152661,94.7,0.5
0500000US08121,8121,"Washington County, Colorado",4541,94.5,1.5
0500000US13173,13173,"Lanier County, Georgia",9215,94.5,3.2
0500000US36009,36009,"Cattaraugus County, New York",74885,94.5,0.6
0500000US39113,39113,"Montgomery County, Ohio",503272,94.5,0.2
0500000US46063,46063,"Harding County, South Dakota",1262,94.5,3
0500000US24029,24029,"Kent County, Maryland",19071,94.4,1.3
0500000US39157,39157,"Tuscarawas County, Ohio",87032,94.4,0.8
0500000US13185,13185,"Lowndes County, Georgia",102972,94.3,0.6
0500000US26005,26005,"Allegan County, Michigan",104523,94.3,0.5
0500000US12123,12123,"Taylor County, Florida",21272,94.2,1
0500000US38035,38035,"Grand Forks County, North Dakota",63060,94.1,0.7
0500000US39153,39153,"Summit County, Ohio",510465,94.1,0.3
0500000US26025,26025,"Calhoun County, Michigan",127120,93.9,0.5
0500000US36043,36043,"Herkimer County, New York",60965,93.9,0.8
0500000US13217,13217,"Newton County, Georgia",93464,93.8,0.7
0500000US46015,46015,"Brule County, South Dakota",4929,93.4,2.5
0500000US27047,27047,"Freeborn County, Minnesota",29252,93.3,1
0500000US26061,26061,"Houghton County, Michigan",34425,93,0.8
0500000US26077,26077,"Kalamazoo County, Michigan",237348,93,0.4
0500000US31019,31019,"Buffalo County, Nebraska",43587,92.9,0.8
0500000US24025,24025,"Harford County, Maryland",232039,92.8,0.4
0500000US51095,51095,"James City County, Virginia",64678,92.8,0.8
0500000US46067,46067,"Hutchinson County, South Dakota",6841,91.2,2.7
0500000US38047,38047,"Logan County, North Dakota",1893,88.2,2.1
0500000US08083,8083,"Montezuma County, Colorado",23939,86.6,1.5
0500000US51057,51057,"Essex County, Virginia",10572,97.1,1.3
0500000US51063,51063,"Floyd County, Virginia",14562,96.8,1.6
0500000US05039,5039,"Dallas County, Arkansas",7673,96.6,1.8
0500000US16023,16023,"Butte County, Idaho",2611,96.6,3.3
0500000US20133,20133,"Neosho County, Kansas",15318,96.3,0.9
0500000US22061,22061,"Lincoln Parish, Louisiana",44175,95.8,0.8
0500000US31099,31099,"Kearney County, Nebraska",6126,95.2,1.2
0500000US13195,13195,"Madison County, Georgia",26350,95.1,0.7
0500000US19149,19149,"Plymouth County, Iowa",23356,95.1,1
0500000US47031,47031,"Coffee County, Tennessee",49645,95.1,0.6
0500000US13031,13031,"Bulloch County, Georgia",67132,95,0.6
0500000US21073,21073,"Franklin County, Kentucky",46487,95,0.7
0500000US13021,13021,"Bibb County, Georgia",144079,94.9,0.4
0500000US29161,29161,"Phelps County, Missouri",42315,94.9,0.7
0500000US31033,31033,"Cheyenne County, Nebraska",9399,94.9,1.5
0500000US40101,40101,"Muskogee County, Oklahoma",65672,94.9,0.5
0500000US39031,39031,"Coshocton County, Ohio",34582,94.7,1
0500000US40093,40093,"Major County, Oklahoma",7112,94.6,1
0500000US40049,40049,"Garvin County, Oklahoma",25573,94.5,0.7
0500000US49015,49015,"Emery County, Utah",9960,94.2,1
0500000US55035,55035,"Eau Claire County, Wisconsin",94010,94.1,0.6
0500000US55039,55039,"Fond du Lac County, Wisconsin",95847,94.1,0.5
0500000US12013,12013,"Calhoun County, Florida",13917,94,1.5
0500000US37011,37011,"Avery County, North Carolina",17010,94,1.2
0500000US40021,40021,"Cherokee County, Oklahoma",44248,94,0.7
0500000US20103,20103,"Leavenworth County, Kansas",71873,93.9,0.7
0500000US42039,42039,"Crawford County, Pennsylvania",83249,93.9,0.6
0500000US54037,54037,"Jefferson County, West Virginia",50877,93.9,0.8
0500000US55063,55063,"La Crosse County, Wisconsin",108711,93.7,0.5
0500000US55111,55111,"Sauk County, Wisconsin",58420,93.7,0.7
0500000US42049,42049,"Erie County, Pennsylvania",263930,93.5,0.3
0500000US21221,21221,"Trigg County, Kentucky",13520,93.3,2.3
0500000US42003,42003,"Allegheny County, Pennsylvania",1163052,93.1,0.2
0500000US46135,46135,"Yankton County, South Dakota",21179,93.1,1.2
0500000US49003,49003,"Box Elder County, Utah",45372,92.8,0.9
0500000US38057,38057,"Mercer County, North Dakota",7988,92.7,1.8
0500000US51550,51550,"Chesapeake city, Virginia",211165,92.6,0.4
0500000US17011,17011,"Bureau County, Illinois",32689,92.5,0.8
0500000US20083,20083,"Hodgeman County, Kansas",1824,92.4,2.8
0500000US51149,51149,"Prince George County, Virginia",34612,92.3,1.1
0500000US06043,6043,"Mariposa County, California",17324,91.4,1.7
0500000US49047,49047,"Uintah County, Utah",30307,91.4,1
0500000US16065,16065,"Madison County, Idaho",33933,89.9,1.5
0500000US09013,9013,"Tolland County, Connecticut",145699,89.4,0.7
0500000US22009,22009,"Avoyelles Parish, Louisiana",38948,87.8,1.2
0500000US33007,33007,"Coos County, New Hampshire",31192,87.1,1.3
0500000US35003,35003,"Catron County, New Mexico",3661,81,4.9
0500000US13281,13281,"Towns County, Georgia",10142,95.9,1.3
0500000US12041,12041,"Gilchrist County, Florida",16027,95.6,0.9
0500000US37029,37029,"Camden County, North Carolina",9554,95.6,1.3
0500000US01043,1043,"Cullman County, Alabama",75594,95.4,0.6
0500000US37199,37199,"Yancey County, North Carolina",16987,95.4,1.2
0500000US37027,37027,"Caldwell County, North Carolina",78043,95.3,0.7
0500000US51111,51111,"Lunenburg County, Virginia",12106,95.3,1.1
0500000US46073,46073,"Jerauld County, South Dakota",1928,95.2,2.4
0500000US13093,13093,"Dooly County, Georgia",13741,95.1,1.1
0500000US17015,17015,"Carroll County, Illinois",14446,95.1,0.9
0500000US13177,13177,"Lee County, Georgia",26754,94.6,1
0500000US40071,40071,"Kay County, Oklahoma",42848,94.6,0.6
0500000US47119,47119,"Maury County, Tennessee",76035,94.5,0.7
0500000US20037,20037,"Crawford County, Kansas",36797,94.4,0.8
0500000US28089,28089,"Madison County, Mississippi",90458,94.2,0.6
0500000US48459,48459,"Upshur County, Texas",37117,94.2,0.8
0500000US26045,26045,"Eaton County, Michigan",101896,93.9,0.6
0500000US45035,45035,"Dorchester County, South Carolina",130133,93.8,0.6
0500000US01045,1045,"Dale County, Alabama",46611,93.7,1
0500000US12005,12005,"Bay County, Florida",160070,93.7,0.5
0500000US36069,36069,"Ontario County, New York",102727,93.6,0.6
0500000US13193,13193,"Macon County, Georgia",13611,93.4,2.3
0500000US22015,22015,"Bossier Parish, Louisiana",111085,93.4,0.6
0500000US51680,51680,"Lynchburg city, Virginia",71883,93.3,0.7
0500000US24043,24043,"Washington County, Maryland",139588,93,0.5
0500000US24017,24017,"Charles County, Maryland",139643,92.8,0.7
0500000US41043,41043,"Linn County, Oregon",110129,92.8,0.8
0500000US42055,42055,"Franklin County, Pennsylvania",140776,92.8,0.7
0500000US51650,51650,"Hampton city, Virginia",128303,92.7,0.5
0500000US39165,39165,"Warren County, Ohio",201398,92.5,0.4
0500000US39093,39093,"Lorain County, Ohio",283926,92.3,0.4
0500000US20025,20025,"Clark County, Kansas",2061,92.1,3.7
0500000US20135,20135,"Ness County, Kansas",2908,91.7,1.4
0500000US48407,48407,"San Jacinto County, Texas",25096,91.5,1.7
0500000US06063,6063,"Plumas County, California",18575,90.3,1.8
0500000US13065,13065,"Clinch County, Georgia",6215,96.8,2
0500000US05041,5041,"Desha County, Arkansas",11824,95.9,0.8
0500000US05029,5029,"Conway County, Arkansas",19931,95.5,1
0500000US27149,27149,"Stevens County, Minnesota",9147,94.9,1.3
0500000US28115,28115,"Pontotoc County, Mississippi",28137,94.9,1.5
0500000US13291,13291,"Union County, Georgia",20583,94.8,1.6
0500000US19177,19177,"Van Buren County, Iowa",7043,94.8,1.8
0500000US41061,41061,"Union County, Oregon",24162,94.8,0.8
0500000US45003,45003,"Aiken County, South Carolina",151793,94.8,0.5
0500000US27117,27117,"Pipestone County, Minnesota",8860,94.6,1
0500000US01003,1003,"Baldwin County, Alabama",175830,94.5,0.6
0500000US37181,37181,"Vance County, North Carolina",42057,94.5,0.7
0500000US27043,27043,"Faribault County, Minnesota",13632,94.4,1
0500000US27085,27085,"McLeod County, Minnesota",34040,94.3,0.6
0500000US13285,13285,"Troup County, Georgia",63038,94.1,0.8
0500000US40115,40115,"Ottawa County, Oklahoma",29830,94.1,0.4
0500000US55097,55097,"Portage County, Wisconsin",66349,93.8,0.4
0500000US08015,8015,"Chaffee County, Colorado",17305,93.7,1.1
0500000US17075,17075,"Iroquois County, Illinois",27831,93.7,0.7
0500000US38025,38025,"Dunn County, North Dakota",3577,93.7,2.9
0500000US48023,48023,"Baylor County, Texas",3493,93.7,2.8
0500000US13297,13297,"Walton County, Georgia",78898,93.6,1
0500000US45091,45091,"York County, South Carolina",215484,93.5,0.5
0500000US39099,39099,"Mahoning County, Ohio",224675,93.3,0.4
0500000US48455,48455,"Trinity County, Texas",13741,93.3,0.8
0500000US29109,29109,"Lawrence County, Missouri",35929,93.2,1.3
0500000US51137,51137,"Orange County, Virginia",32013,93.2,2.2
0500000US49013,49013,"Duchesne County, Utah",17075,93.1,1
0500000US56003,56003,"Big Horn County, Wyoming",10971,92.9,1.4
0500000US53055,53055,"San Juan County, Washington",15300,92.8,0.8
0500000US17113,17113,"McLean County, Illinois",160641,92.5,0.4
0500000US25003,25003,"Berkshire County, Massachusetts",124614,92.5,0.7
0500000US48193,48193,"Hamilton County, Texas",7948,92.4,1.8
0500000US27119,27119,"Polk County, Minnesota",29458,92.3,1.1
0500000US26021,26021,"Berrien County, Michigan",146653,92.2,0.5
0500000US17077,17077,"Jackson County, Illinois",56951,91.3,1
0500000US49011,49011,"Davis County, Utah",280975,91.2,0.5
0500000US51199,51199,"York County, Virginia",62109,91.2,0.8
0500000US20159,20159,"Rice County, Kansas",9392,90.7,1.7
0500000US08049,8049,"Grand County, Colorado",13801,90.4,3.1
0500000US22109,22109,"Terrebonne Parish, Louisiana",103737,89.8,0.8
0500000US46121,46121,"Todd County, South Dakota",8519,77.7,4.6
0500000US31007,31007,"Banner County, Nebraska",757,96,2.5
0500000US31085,31085,"Hayes County, Nebraska",1102,95.7,1.3
0500000US54081,54081,"Raleigh County, West Virginia",74158,95.7,0.7
0500000US13085,13085,"Dawson County, Georgia",21153,95.2,1.3
0500000US13019,13019,"Berrien County, Georgia",17880,95.1,0.9
0500000US37193,37193,"Wilkes County, North Carolina",65302,95,0.4
0500000US05031,5031,"Craighead County, Arkansas",91350,94.8,0.4
0500000US29021,29021,"Buchanan County, Missouri",83347,94.5,0.6
0500000US05051,5051,"Garland County, Arkansas",91143,94.4,0.7
0500000US20145,20145,"Pawnee County, Kansas",6642,94.3,1.9
0500000US13299,13299,"Ware County, Georgia",33501,94.2,0.6
0500000US37047,37047,"Columbus County, North Carolina",54370,94.2,0.6
0500000US12075,12075,"Levy County, Florida",38135,94,1.1
0500000US38089,38089,"Stark County, North Dakota",24040,94,0.9
0500000US40087,40087,"McClain County, Oklahoma",32789,93.8,0.8
0500000US46115,46115,"Spink County, South Dakota",6144,93.8,1.7
0500000US17099,17099,"LaSalle County, Illinois",106810,93.6,0.5
0500000US27161,27161,"Waseca County, Minnesota",17900,93.6,0.9
0500000US28059,28059,"Jackson County, Mississippi",130636,93.6,0.5
0500000US41017,41017,"Deschutes County, Oregon",151246,93.5,0.6
0500000US36083,36083,"Rensselaer County, New York",150806,93.3,0.5
0500000US39061,39061,"Hamilton County, Ohio",749227,93.1,0.2
0500000US37113,37113,"Macon County, North Carolina",32188,93,0.7
0500000US22095,22095,"St. John the Baptist Parish, Louisiana",41975,92.9,1.1
0500000US48379,48379,"Rains County, Texas",10440,92.8,1.5
0500000US18049,18049,"Fulton County, Indiana",19389,92.5,1.3
0500000US36033,36033,"Franklin County, New York",48969,92.3,0.8
