Timestamp,Job title,Company,Location,Lat,Lng,CityFormatted
10/16/2015 14:39:00,ASSOCIATE (OR FULL) PROFESSOR OF THE PRACTICE OF COMPUTATIONAL JOURNALISM:,Boston University,Boston,42.3600825,-71.0588801,"Boston, MA, USA"
10/20/2015 14:01:00,Digital Internship,The Seattle Times,"Seattle, WA",47.6062095,-122.3320708,"Seattle, WA, USA"
10/23/2015 9:49:00,Jr. Database Developer,CRP,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
10/26/2015 10:15:00,Knight Chair in Data  and Explanatory Journalism,Syracuse University,"Syracuse, NY",43.0481221,-76.1474244,"Syracuse, NY, USA"
11/3/2015 17:58:00,Data Reporter,NJ Advance Media,"Woodbridge, NJ",40.5575986,-74.2846022,"Woodbridge Township, NJ, USA"
11/7/2015 5:34:00,News Applications Developer,NPR,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
11/9/2015 19:47:00,Data/development intern/fellow 2016,Tampa Bay Times,St. Petersburg,27.7518284,-82.6267345,"St. Petersburg, FL, USA"
11/11/2015 13:26:00,Interactives and Website Developer,PublicSource,"Pittsburgh, PA",40.4406248,-79.9958864,"Pittsburgh, PA, USA"
11/12/2015 14:03:00,Data Journalist,The Associated Press,,,,
11/13/2015 11:49:00,News apps develpoer,Austin American-Statesman,"Austin, TX",30.267153,-97.7430608,"Austin, TX, USA"
11/16/2015 13:02:00,Interactive Designer,The Baltimore Sun,"Baltimore, MD",39.2903848,-76.6121893,"Baltimore, MD, USA"
11/17/2015 13:16:00,Front End Developer - Data Visualization,Daily Kos,"Oakland, CA",37.8043637,-122.2711137,"Oakland, CA, USA"
11/18/2015 17:32:00,Data visualization developer intern,The Atlanta Journal-Constitution,"Atlanta, GA",33.7489954,-84.3879824,"Atlanta, GA, USA"
12/2/2015 9:11:00,Front End Developer: Visualizations and data journalism,Aftonbladet,Stockholm,59.3293235,18.0685808,"Stockholm, Sweden"
12/3/2015 18:20:00,Database Reporter,The Chronicle of Higher Education,"Washington, D.C.",38.9071923,-77.0368707,"Washington, DC, USA"
12/10/2015 12:21:00,Lead News Applications Developer,Minneapolis Star Tribune,"Minneapolis, MN",44.977753,-93.2650108,"Minneapolis, MN, USA"
12/15/2015 12:18:00,Data Journalist/Creative Developer/Designer,SITU Research,"Brooklyn, NY",40.6781784,-73.9441579,"Brooklyn, NY, USA"
1/6/2016 10:43:00,Data Journalist,Infogr8,London,51.5073509,-0.1277583,"London, UK"
1/7/2016 15:41:00,Investigative Fellow,Investigative Reporting Program,"Berkeley, CA",37.8715926,-122.272747,"Berkeley, CA, USA"
1/7/2016 18:39:00,News applications developer,Chicago Tribune,"Chicago, Illinois USA",41.8781136,-87.6297982,"Chicago, IL, USA"
1/9/2016 16:03:00,News applications developer,Milwaukee Journal Sentinel,"Milwaukee, WI",43.0389025,-87.9064736,"Milwaukee, WI, USA"
1/13/2016 14:05:00,Data Visualization Developer,Thomson Reuters,New York City,40.7127837,-74.0059413,"New York, NY, USA"
1/20/2016 21:22:00,Interactive Graphic Journalist,Bloomberg Graphics,Hong Kong,22.396428,114.109497,Hong Kong
1/27/2016 15:39:00,News applications specialist,Austin American-Statesman,"Austin, TX",30.267153,-97.7430608,"Austin, TX, USA"
1/28/2016 10:16:00,Data Intern,The Palm Beach Post,"West Palm Beach, FL",26.7153424,-80.0533746,"West Palm Beach, FL, USA"
2/12/2016 11:00:00,Data Journalist Consultant,Dalberg Research,London,51.5073509,-0.1277583,"London, UK"
2/22/2016 5:22:00,Data Journalism Intern,Dalia Research GmbH,Berlin,52.5200066,13.404954,"Berlin, Germany"
2/22/2016 5:22:00,Data Journalism Intern,Dalia Research GmbH,Berlin,52.5200066,13.404954,"Berlin, Germany"
3/4/2016 12:02:00,News application developer/data journalist,Center for Public Integrity,"Washington, DC",38.9071923,-77.0368707,"Washington, DC, USA"
3/4/2016 21:08:00,Data enterprise reporter,Tampa Bay Times,"St. Petersburg, FL",27.7518284,-82.6267345,"St. Petersburg, FL, USA"
3/4/2016 21:10:00,Digital designer / digital design editor,Tampa Bay Times,St. Petersburg,27.7518284,-82.6267345,"St. Petersburg, FL, USA"
3/7/2016 15:19:00,News application developer,The Atlanta Journal-Constitution,"Atlanta, GA",33.7489954,-84.3879824,"Atlanta, GA, USA"
